PLAYER_ID,POSITION,SEASON
76001,F,2017-18
76002,C,2017-18
76003,C,2017-18
51,G,2017-18
1505,F-G,2017-18
949,F,2017-18
76005,F,2017-18
76006,G,2017-18
76007,F,2017-18
203518,G,2017-18
1630173,F,2017-18
101165,G,2017-18
76008,G,2017-18
76009,C,2017-18
76010,F,2017-18
1643411,G,2017-18
203112,F,2017-18
76011,C,2017-18
76012,F,2017-18
200801,F,2017-18
1629121,G,2017-18
203919,G,2017-18
149,G,2017-18
203500,C,2017-18
912,F,2017-18
1628389,C-F,2017-18
1629061,F,2017-18
76015,G,2017-18
202399,F,2017-18
201167,G,2017-18
1630534,G,2017-18
200772,F-G,2017-18
76016,F,2017-18
201336,G,2017-18
76017,G,2017-18
201582,C,2017-18
76018,C,2017-18
203006,G,2017-18
1629152,G,2017-18
202374,C,2017-18
76019,F,2017-18
76020,C,2017-18
1630583,F-C,2017-18
203128,F-C,2017-18
202332,C,2017-18
200746,C-F,2017-18
76021,C,2017-18
1626146,F,2017-18
724,G,2017-18
2042,G,2017-18
76022,F,2017-18
201570,F,2017-18
1629734,F-C,2017-18
1641725,G,2017-18
1630234,G,2017-18
2349,F,2017-18
1629638,G,2017-18
76024,G,2017-18
1628959,G,2017-18
76028,F,2017-18
1628960,G,2017-18
1628386,C,2017-18
706,G,2017-18
1628443,G,2017-18
202730,F-C,2017-18
76027,G,2017-18
2124,F,2017-18
76025,F,2017-18
951,G,2017-18
1641851,F,2017-18
2754,G-F,2017-18
76029,F,2017-18
200984,C,2017-18
76030,F,2017-18
201165,G,2017-18
308,F,2017-18
1747,G,2017-18
1824,C,2017-18
1630631,G,2017-18
680,F-C,2017-18
732,F,2017-18
1643417,F,2017-18
202329,F,2017-18
200811,F,2017-18
76034,F,2017-18
2365,F-C,2017-18
2431,C,2017-18
101187,F-G,2017-18
202079,G,2017-18
1643515,G,2017-18
76035,G,2017-18
76036,G,2017-18
1507,G,2017-18
76037,G,2017-18
944,F,2017-18
246,C-F,2017-18
202341,G-F,2017-18
76040,G,2017-18
1626147,F-G,2017-18
72,G,2017-18
76041,F,2017-18
203937,F-G,2017-18
76042,G,2017-18
76043,F,2017-18
98,F-G,2017-18
76045,F,2017-18
76046,F,2017-18
201583,F,2017-18
1000,G-F,2017-18
335,G-F,2017-18
76048,C,2017-18
101149,C,2017-18
76049,F,2017-18
1628387,C-F,2017-18
76050,F,2017-18
1512,C,2017-18
1630828,F,2017-18
203507,F,2017-18
1628961,F,2017-18
203648,F,2017-18
2546,F,2017-18
1630175,G,2017-18
21,G,2017-18
201202,C,2017-18
203544,F-C,2017-18
1628384,F-G,2017-18
203951,G,2017-18
2737,C,2017-18
76053,F,2017-18
76054,G,2017-18
2425,F,2017-18
1627853,G,2017-18
76055,C,2017-18
2240,G,2017-18
2772,F,2017-18
76056,F,2017-18
76057,F,2017-18
769,G,2017-18
76061,C,2017-18
2220,G,2017-18
353,G,2017-18
200756,F-C,2017-18
76060,G,2017-18
1642379,G,2017-18
76059,G,2017-18
76062,F,2017-18
76063,G,2017-18
76064,F,2017-18
2306,G,2017-18
201589,F,2017-18
76065,G,2017-18
1628503,G,2017-18
201600,C,2017-18
355,F,2017-18
173,F-G,2017-18
76068,G,2017-18
76069,G,2017-18
1088,G,2017-18
76070,G,2017-18
76071,G,2017-18
278,F-G,2017-18
201571,G,2017-18
200788,F,2017-18
1134,C,2017-18
76073,G,2017-18
76074,F,2017-18
1630166,F,2017-18
138,C,2017-18
76076,G,2017-18
1895,G,2017-18
76078,C,2017-18
1630555,G,2017-18
202970,F-C,2017-18
201965,F-C,2017-18
1629028,C,2017-18
101235,G,2017-18
1628962,C-F,2017-18
203569,G,2017-18
202337,F,2017-18
76079,C,2017-18
76080,F,2017-18
1628407,G-F,2017-18
1630641,C,2017-18
76081,F,2017-18
2053,C,2017-18
76082,G,2017-18
1630542,F,2017-18
