PLAYER_ID,POSITION,SEASON
76001,F,2015-16
76002,C,2015-16
76003,C,2015-16
51,G,2015-16
1505,F-G,2015-16
949,F,2015-16
76005,F,2015-16
76006,G,2015-16
76007,F,2015-16
203518,G,2015-16
1630173,F,2015-16
101165,G,2015-16
76008,G,2015-16
76009,C,2015-16
76010,F,2015-16
1643411,G,2015-16
203112,F,2015-16
76011,C,2015-16
76012,F,2015-16
200801,F,2015-16
1629121,G,2015-16
203919,G,2015-16
149,G,2015-16
203500,C,2015-16
912,F,2015-16
1628389,C-F,2015-16
1629061,F,2015-16
76015,G,2015-16
202399,F,2015-16
201167,G,2015-16
1630534,G,2015-16
200772,F-G,2015-16
76016,F,2015-16
201336,G,2015-16
76017,G,2015-16
201582,C,2015-16
76018,C,2015-16
203006,G,2015-16
1629152,G,2015-16
202374,C,2015-16
76019,F,2015-16
76020,C,2015-16
1630583,F-C,2015-16
203128,F-C,2015-16
202332,C,2015-16
200746,C-F,2015-16
76021,C,2015-16
1626146,F,2015-16
724,G,2015-16
2042,G,2015-16
76022,F,2015-16
201570,F,2015-16
1629734,F-C,2015-16
1641725,G,2015-16
1630234,G,2015-16
2349,F,2015-16
1629638,G,2015-16
76024,G,2015-16
1628959,G,2015-16
76028,F,2015-16
1628960,G,2015-16
1628386,C,2015-16
706,G,2015-16
1628443,G,2015-16
202730,F-C,2015-16
76027,G,2015-16
2124,F,2015-16
76025,F,2015-16
951,G,2015-16
1641851,F,2015-16
2754,G-F,2015-16
76029,F,2015-16
200984,C,2015-16
76030,F,2015-16
201165,G,2015-16
308,F,2015-16
1747,G,2015-16
1824,C,2015-16
1630631,G,2015-16
680,F-C,2015-16
732,F,2015-16
1643417,F,2015-16
202329,F,2015-16
200811,F,2015-16
76034,F,2015-16
2365,F-C,2015-16
2431,C,2015-16
101187,F-G,2015-16
202079,G,2015-16
1643515,G,2015-16
76035,G,2015-16
76036,G,2015-16
1507,G,2015-16
76037,G,2015-16
944,F,2015-16
246,C-F,2015-16
202341,G-F,2015-16
76040,G,2015-16
1626147,F-G,2015-16
72,G,2015-16
76041,F,2015-16
203937,F-G,2015-16
76042,G,2015-16
76043,F,2015-16
98,F-G,2015-16
76045,F,2015-16
76046,F,2015-16
201583,F,2015-16
1000,G-F,2015-16
335,G-F,2015-16
76048,C,2015-16
101149,C,2015-16
76049,F,2015-16
