PLAYER_ID,POSITION,SEASON
76001,F,2018-19
76002,C,2018-19
76003,C,2018-19
51,G,2018-19
1505,F-G,2018-19
949,F,2018-19
76005,F,2018-19
76006,G,2018-19
76007,F,2018-19
203518,G,2018-19
1630173,F,2018-19
101165,G,2018-19
76008,G,2018-19
76009,C,2018-19
76010,F,2018-19
1643411,G,2018-19
203112,F,2018-19
76011,C,2018-19
76012,F,2018-19
200801,F,2018-19
1629121,G,2018-19
203919,G,2018-19
149,G,2018-19
203500,C,2018-19
912,F,2018-19
1628389,C-F,2018-19
1629061,F,2018-19
76015,G,2018-19
202399,F,2018-19
201167,G,2018-19
1630534,G,2018-19
200772,F-G,2018-19
76016,F,2018-19
201336,G,2018-19
76017,G,2018-19
201582,C,2018-19
76018,C,2018-19
203006,G,2018-19
1629152,G,2018-19
202374,C,2018-19
76019,F,2018-19
76020,C,2018-19
1630583,F-C,2018-19
203128,F-C,2018-19
202332,C,2018-19
200746,C-F,2018-19
76021,C,2018-19
1626146,F,2018-19
724,G,2018-19
2042,G,2018-19
76022,F,2018-19
201570,F,2018-19
1629734,F-C,2018-19
1641725,G,2018-19
1630234,G,2018-19
2349,F,2018-19
1629638,G,2018-19
76024,G,2018-19
1628959,G,2018-19
76028,F,2018-19
1628960,G,2018-19
1628386,C,2018-19
706,G,2018-19
1628443,G,2018-19
202730,F-C,2018-19
76027,G,2018-19
2124,F,2018-19
76025,F,2018-19
951,G,2018-19
1641851,F,2018-19
2754,G-F,2018-19
76029,F,2018-19
200984,C,2018-19
76030,F,2018-19
201165,G,2018-19
308,F,2018-19
1747,G,2018-19
1824,C,2018-19
1630631,G,2018-19
680,F-C,2018-19
732,F,2018-19
1643417,F,2018-19
202329,F,2018-19
200811,F,2018-19
76034,F,2018-19
2365,F-C,2018-19
2431,C,2018-19
101187,F-G,2018-19
202079,G,2018-19
1643515,G,2018-19
76035,G,2018-19
76036,G,2018-19
1507,G,2018-19
76037,G,2018-19
944,F,2018-19
246,C-F,2018-19
202341,G-F,2018-19
76040,G,2018-19
1626147,F-G,2018-19
72,G,2018-19
76041,F,2018-19
203937,F-G,2018-19
76042,G,2018-19
76043,F,2018-19
98,F-G,2018-19
76045,F,2018-19
76046,F,2018-19
201583,F,2018-19
1000,G-F,2018-19
335,G-F,2018-19
76048,C,2018-19
101149,C,2018-19
76049,F,2018-19
1628387,C-F,2018-19
76050,F,2018-19
1512,C,2018-19
1630828,F,2018-19
203507,F,2018-19
1628961,F,2018-19
203648,F,2018-19
2546,F,2018-19
1630175,G,2018-19
21,G,2018-19
201202,C,2018-19
203544,F-C,2018-19
1628384,F-G,2018-19
203951,G,2018-19
2737,C,2018-19
76053,F,2018-19
76054,G,2018-19
2425,F,2018-19
1627853,G,2018-19
76055,C,2018-19
2240,G,2018-19
2772,F,2018-19
76056,F,2018-19
76057,F,2018-19
769,G,2018-19
76061,C,2018-19
2220,G,2018-19
353,G,2018-19
200756,F-C,2018-19
76060,G,2018-19
1642379,G,2018-19
76059,G,2018-19
76062,F,2018-19
76063,G,2018-19
76064,F,2018-19
2306,G,2018-19
201589,F,2018-19
76065,G,2018-19
1628503,G,2018-19
201600,C,2018-19
355,F,2018-19
173,F-G,2018-19
76068,G,2018-19
76069,G,2018-19
1088,G,2018-19
76070,G,2018-19
76071,G,2018-19
278,F-G,2018-19
201571,G,2018-19
200788,F,2018-19
1134,C,2018-19
76073,G,2018-19
76074,F,2018-19
1630166,F,2018-19
138,C,2018-19
76076,G,2018-19
1895,G,2018-19
76078,C,2018-19
1630555,G,2018-19
202970,F-C,2018-19
201965,F-C,2018-19
1629028,C,2018-19
101235,G,2018-19
1628962,C-F,2018-19
203569,G,2018-19
202337,F,2018-19
76079,C,2018-19
76080,F,2018-19
1628407,G-F,2018-19
1630641,C,2018-19
76081,F,2018-19
2053,C,2018-19
76082,G,2018-19
1630542,F,2018-19
1628963,F,2018-19
1642846,F,2018-19
1641735,G,2018-19
76084,C,2018-19
76083,G,2018-19
76085,F,2018-19
1847,F,2018-19
1753,G,2018-19
203946,F-C,2018-19
1858,G,2018-19
2486,G,2018-19
76089,G,2018-19
1627758,G,2018-19
452,F,2018-19
1642380,G,2018-19
1627735,G,2018-19
1631116,F,2018-19
200764,F,2018-19
76090,F,2018-19
1630163,G,2018-19
1628366,G,2018-19
76091,F,2018-19
76092,F,2018-19
1628964,C,2018-19
1631094,F,2018-19
1630217,G,2018-19
76093,F,2018-19
2556,G,2018-19
76094,F,2018-19
76095,F,2018-19
1630625,F,2018-19
1627760,G,2018-19
76096,F,2018-19
2571,G,2018-19
76097,G,2018-19
200826,G,2018-19
200745,C-F,2018-19
76098,G,2018-19
76099,C,2018-19
787,F,2018-19
2057,G,2018-19
76102,F,2018-19
1631230,F,2018-19
203084,F,2018-19
76103,F,2018-19
76105,C,2018-19
76104,F,2018-19
2440,F,2018-19
1630567,F-G,2018-19
76107,G,2018-19
76106,G,2018-19
76108,G,2018-19
76109,G,2018-19
1642964,G,2018-19
76110,F,2018-19
76111,F,2018-19
76112,G,2018-19
76113,G,2018-19
2857,G,2018-19
76114,G,2018-19
1629628,F-G,2018-19
2853,F-C,2018-19
344,G,2018-19
699,G,2018-19
1003,G,2018-19
468,G,2018-19
600013,F,2018-19
76117,F,2018-19
76118,C,2018-19
203115,G,2018-19
101188,G,2018-19
76119,F,2018-19
101138,F,2018-19
1628238,F,2018-19
76120,F,2018-19
1629646,C-F,2018-19
1766,F,2018-19
2370,C,2018-19
76121,G,2018-19
1641734,F,2018-19
1628966,F,2018-19
101212,F-C,2018-19
2471,F,2018-19
1499,C,2018-19
2203,F,2018-19
1642419,F,2018-19
174,G,2018-19
76123,G,2018-19
76124,C,2018-19
201587,G-F,2018-19
1641878,G,2018-19
76125,F,2018-19
76126,G,2018-19
2437,F,2018-19
201573,G,2018-19
76127,F,2018-19
203382,C-F,2018-19
76128,G,2018-19
203145,G-F,2018-19
1629647,F,2018-19
76129,F,2018-19
203078,G,2018-19
76130,G,2018-19
76131,G,2018-19
2602,F,2018-19
1627736,G,2018-19
201563,F,2018-19
76133,C,2018-19
201958,G,2018-19
