PLAYER_ID,POSITION,SEASON
76001,F,2024-25
76002,C,2024-25
76003,C,2024-25
51,G,2024-25
1505,F-G,2024-25
949,F,2024-25
76005,F,2024-25
76006,G,2024-25
76007,F,2024-25
203518,G,2024-25
1630173,F,2024-25
101165,G,2024-25
76008,G,2024-25
76009,C,2024-25
76010,F,2024-25
1643411,G,2024-25
203112,F,2024-25
76011,C,2024-25
76012,F,2024-25
200801,F,2024-25
1629121,G,2024-25
203919,G,2024-25
149,G,2024-25
203500,C,2024-25
912,F,2024-25
1628389,C-F,2024-25
1629061,F,2024-25
76015,G,2024-25
202399,F,2024-25
201167,G,2024-25
1630534,G,2024-25
200772,F-G,2024-25
76016,F,2024-25
201336,G,2024-25
76017,G,2024-25
201582,C,2024-25
76018,C,2024-25
203006,G,2024-25
1629152,G,2024-25
202374,C,2024-25
76019,F,2024-25
76020,C,2024-25
1630583,F-C,2024-25
203128,F-C,2024-25
202332,C,2024-25
200746,C-F,2024-25
76021,C,2024-25
1626146,F,2024-25
724,G,2024-25
2042,G,2024-25
76022,F,2024-25
201570,F,2024-25
1629734,F-C,2024-25
1641725,G,2024-25
1630234,G,2024-25
2349,F,2024-25
1629638,G,2024-25
76024,G,2024-25
1628959,G,2024-25
76028,F,2024-25
1628960,G,2024-25
1628386,C,2024-25
706,G,2024-25
1628443,G,2024-25
202730,F-C,2024-25
76027,G,2024-25
2124,F,2024-25
76025,F,2024-25
951,G,2024-25
1641851,F,2024-25
2754,G-F,2024-25
76029,F,2024-25
200984,C,2024-25
76030,F,2024-25
201165,G,2024-25
308,F,2024-25
1747,G,2024-25
1824,C,2024-25
1630631,G,2024-25
680,F-C,2024-25
732,F,2024-25
1643417,F,2024-25
202329,F,2024-25
200811,F,2024-25
76034,F,2024-25
2365,F-C,2024-25
2431,C,2024-25
101187,F-G,2024-25
202079,G,2024-25
1643515,G,2024-25
76035,G,2024-25
76036,G,2024-25
1507,G,2024-25
76037,G,2024-25
944,F,2024-25
246,C-F,2024-25
202341,G-F,2024-25
76040,G,2024-25
1626147,F-G,2024-25
72,G,2024-25
76041,F,2024-25
203937,F-G,2024-25
76042,G,2024-25
76043,F,2024-25
98,F-G,2024-25
76045,F,2024-25
76046,F,2024-25
201583,F,2024-25
1000,G-F,2024-25
335,G-F,2024-25
76048,C,2024-25
101149,C,2024-25
76049,F,2024-25
1628387,C-F,2024-25
76050,F,2024-25
1512,C,2024-25
1630828,F,2024-25
203507,F,2024-25
1628961,F,2024-25
203648,F,2024-25
2546,F,2024-25
1630175,G,2024-25
21,G,2024-25
201202,C,2024-25
203544,F-C,2024-25
1628384,F-G,2024-25
203951,G,2024-25
2737,C,2024-25
76053,F,2024-25
76054,G,2024-25
2425,F,2024-25
1627853,G,2024-25
76055,C,2024-25
