PLAYER_ID,POSITION,SEASON
76001,F,2023-24
76002,C,2023-24
76003,C,2023-24
51,G,2023-24
1505,F-G,2023-24
949,F,2023-24
76005,F,2023-24
76006,G,2023-24
76007,F,2023-24
203518,G,2023-24
1630173,F,2023-24
101165,G,2023-24
76008,G,2023-24
76009,C,2023-24
76010,F,2023-24
1643411,G,2023-24
203112,F,2023-24
76011,C,2023-24
76012,F,2023-24
200801,F,2023-24
1629121,G,2023-24
203919,G,2023-24
149,G,2023-24
203500,C,2023-24
912,F,2023-24
1628389,C-F,2023-24
1629061,F,2023-24
76015,G,2023-24
202399,F,2023-24
201167,G,2023-24
1630534,G,2023-24
200772,F-G,2023-24
76016,F,2023-24
201336,G,2023-24
76017,G,2023-24
201582,C,2023-24
76018,C,2023-24
203006,G,2023-24
1629152,G,2023-24
202374,C,2023-24
76019,F,2023-24
76020,C,2023-24
1630583,F-C,2023-24
203128,F-C,2023-24
202332,C,2023-24
200746,C-F,2023-24
76021,C,2023-24
1626146,F,2023-24
724,G,2023-24
2042,G,2023-24
76022,F,2023-24
201570,F,2023-24
1629734,F-C,2023-24
1641725,G,2023-24
1630234,G,2023-24
2349,F,2023-24
1629638,G,2023-24
76024,G,2023-24
1628959,G,2023-24
76028,F,2023-24
1628960,G,2023-24
1628386,C,2023-24
706,G,2023-24
1628443,G,2023-24
202730,F-C,2023-24
76027,G,2023-24
2124,F,2023-24
76025,F,2023-24
951,G,2023-24
1641851,F,2023-24
2754,G-F,2023-24
76029,F,2023-24
200984,C,2023-24
76030,F,2023-24
201165,G,2023-24
308,F,2023-24
1747,G,2023-24
1824,C,2023-24
1630631,G,2023-24
680,F-C,2023-24
732,F,2023-24
1643417,F,2023-24
202329,F,2023-24
200811,F,2023-24
76034,F,2023-24
2365,F-C,2023-24
2431,C,2023-24
101187,F-G,2023-24
202079,G,2023-24
1643515,G,2023-24
76035,G,2023-24
76036,G,2023-24
1507,G,2023-24
76037,G,2023-24
944,F,2023-24
246,C-F,2023-24
202341,G-F,2023-24
76040,G,2023-24
1626147,F-G,2023-24
72,G,2023-24
76041,F,2023-24
203937,F-G,2023-24
76042,G,2023-24
76043,F,2023-24
98,F-G,2023-24
76045,F,2023-24
76046,F,2023-24
201583,F,2023-24
1000,G-F,2023-24
335,G-F,2023-24
76048,C,2023-24
101149,C,2023-24
76049,F,2023-24
1628387,C-F,2023-24
76050,F,2023-24
1512,C,2023-24
1630828,F,2023-24
203507,F,2023-24
1628961,F,2023-24
203648,F,2023-24
2546,F,2023-24
1630175,G,2023-24
21,G,2023-24
201202,C,2023-24
203544,F-C,2023-24
1628384,F-G,2023-24
203951,G,2023-24
2737,C,2023-24
76053,F,2023-24
76054,G,2023-24
2425,F,2023-24
1627853,G,2023-24
76055,C,2023-24
2240,G,2023-24
2772,F,2023-24
76056,F,2023-24
76057,F,2023-24
769,G,2023-24
76061,C,2023-24
2220,G,2023-24
353,G,2023-24
200756,F-C,2023-24
76060,G,2023-24
1642379,G,2023-24
76059,G,2023-24
76062,F,2023-24
76063,G,2023-24
76064,F,2023-24
2306,G,2023-24
201589,F,2023-24
76065,G,2023-24
1628503,G,2023-24
201600,C,2023-24
355,F,2023-24
173,F-G,2023-24
76068,G,2023-24
76069,G,2023-24
1088,G,2023-24
76070,G,2023-24
76071,G,2023-24
278,F-G,2023-24
201571,G,2023-24
200788,F,2023-24
1134,C,2023-24
76073,G,2023-24
76074,F,2023-24
1630166,F,2023-24
138,C,2023-24
76076,G,2023-24
1895,G,2023-24
76078,C,2023-24
1630555,G,2023-24
202970,F-C,2023-24
201965,F-C,2023-24
1629028,C,2023-24
101235,G,2023-24
1628962,C-F,2023-24
203569,G,2023-24
202337,F,2023-24
76079,C,2023-24
76080,F,2023-24
1628407,G-F,2023-24
1630641,C,2023-24
76081,F,2023-24
2053,C,2023-24
76082,G,2023-24
1630542,F,2023-24
1628963,F,2023-24
1642846,F,2023-24
1641735,G,2023-24
76084,C,2023-24
76083,G,2023-24
76085,F,2023-24
1847,F,2023-24
1753,G,2023-24
203946,F-C,2023-24
1858,G,2023-24
2486,G,2023-24
76089,G,2023-24
1627758,G,2023-24
452,F,2023-24
1642380,G,2023-24
1627735,G,2023-24
1631116,F,2023-24
200764,F,2023-24
76090,F,2023-24
1630163,G,2023-24
1628366,G,2023-24
76091,F,2023-24
76092,F,2023-24
1628964,C,2023-24
1631094,F,2023-24
1630217,G,2023-24
76093,F,2023-24
2556,G,2023-24
76094,F,2023-24
76095,F,2023-24
1630625,F,2023-24
1627760,G,2023-24
76096,F,2023-24
2571,G,2023-24
76097,G,2023-24
200826,G,2023-24
200745,C-F,2023-24
76098,G,2023-24
76099,C,2023-24
787,F,2023-24
2057,G,2023-24
76102,F,2023-24
1631230,F,2023-24
203084,F,2023-24
76103,F,2023-24
76105,C,2023-24
76104,F,2023-24
2440,F,2023-24
1630567,F-G,2023-24
76107,G,2023-24
76106,G,2023-24
76108,G,2023-24
76109,G,2023-24
1642964,G,2023-24
76110,F,2023-24
76111,F,2023-24
76112,G,2023-24
76113,G,2023-24
2857,G,2023-24
76114,G,2023-24
1629628,F-G,2023-24
2853,F-C,2023-24
344,G,2023-24
699,G,2023-24
1003,G,2023-24
468,G,2023-24
600013,F,2023-24
76117,F,2023-24
76118,C,2023-24
203115,G,2023-24
101188,G,2023-24
76119,F,2023-24
101138,F,2023-24
1628238,F,2023-24
76120,F,2023-24
1629646,C-F,2023-24
1766,F,2023-24
2370,C,2023-24
76121,G,2023-24
1641734,F,2023-24
1628966,F,2023-24
101212,F-C,2023-24
2471,F,2023-24
1499,C,2023-24
2203,F,2023-24
1642419,F,2023-24
174,G,2023-24
76123,G,2023-24
76124,C,2023-24
201587,G-F,2023-24
1641878,G,2023-24
76125,F,2023-24
76126,G,2023-24
2437,F,2023-24
201573,G,2023-24
76127,F,2023-24
203382,C-F,2023-24
76128,G,2023-24
203145,G-F,2023-24
1629647,F,2023-24
76129,F,2023-24
203078,G,2023-24
76130,G,2023-24
76131,G,2023-24
2602,F,2023-24
1627736,G,2023-24
201563,F,2023-24
76133,C,2023-24
201958,G,2023-24
1630699,F,2023-24
76134,C,2023-24
1133,G,2023-24
76136,G,2023-24
76137,,2023-24
76138,C,2023-24
1641736,G,2023-24
76139,C,2023-24
76140,F,2023-24
76141,C,2023-24
201158,G,2023-24
2294,G,2023-24
76142,F,2023-24
1628395,F,2023-24
1952,G,2023-24
2559,G,2023-24
76143,G,2023-24
76144,C,2023-24
1627761,G-F,2023-24
76145,F,2023-24
76146,G,2023-24
1627733,F,2023-24
1886,F,2023-24
203968,,2023-24
104,C,2023-24
1736,G,2023-24
203461,F,2023-24
1120,G,2023-24
712,C-F,2023-24
76151,F,2023-24
76148,G,2023-24
76152,G,2023-24
128,F,2023-24
202728,F-C,2023-24
76154,C,2023-24
1627791,F,2023-24
76155,G,2023-24
76156,C,2023-24
1642866,F,2023-24
1631262,G,2023-24
76157,F,2023-24
76158,F,2023-24
1629541,G,2023-24
202722,F,2023-24
