PLAYER_ID,POSITION,SEASON
76001,F,2019-20
76002,C,2019-20
76003,C,2019-20
51,G,2019-20
1505,F-G,2019-20
949,F,2019-20
76005,F,2019-20
76006,G,2019-20
76007,F,2019-20
203518,G,2019-20
1630173,F,2019-20
101165,G,2019-20
76008,G,2019-20
76009,C,2019-20
76010,F,2019-20
1643411,G,2019-20
203112,F,2019-20
76011,C,2019-20
76012,F,2019-20
200801,F,2019-20
1629121,G,2019-20
203919,G,2019-20
149,G,2019-20
203500,C,2019-20
912,F,2019-20
1628389,C-F,2019-20
1629061,F,2019-20
76015,G,2019-20
202399,F,2019-20
201167,G,2019-20
1630534,G,2019-20
200772,F-G,2019-20
76016,F,2019-20
201336,G,2019-20
76017,G,2019-20
201582,C,2019-20
76018,C,2019-20
203006,G,2019-20
1629152,G,2019-20
202374,C,2019-20
76019,F,2019-20
76020,C,2019-20
1630583,F-C,2019-20
203128,F-C,2019-20
202332,C,2019-20
200746,C-F,2019-20
76021,C,2019-20
1626146,F,2019-20
724,G,2019-20
2042,G,2019-20
76022,F,2019-20
201570,F,2019-20
1629734,F-C,2019-20
1641725,G,2019-20
1630234,G,2019-20
2349,F,2019-20
1629638,G,2019-20
76024,G,2019-20
1628959,G,2019-20
76028,F,2019-20
1628960,G,2019-20
1628386,C,2019-20
706,G,2019-20
1628443,G,2019-20
202730,F-C,2019-20
76027,G,2019-20
2124,F,2019-20
76025,F,2019-20
951,G,2019-20
1641851,F,2019-20
2754,G-F,2019-20
76029,F,2019-20
200984,C,2019-20
76030,F,2019-20
201165,G,2019-20
308,F,2019-20
1747,G,2019-20
1824,C,2019-20
1630631,G,2019-20
680,F-C,2019-20
732,F,2019-20
1643417,F,2019-20
202329,F,2019-20
200811,F,2019-20
76034,F,2019-20
2365,F-C,2019-20
2431,C,2019-20
101187,F-G,2019-20
202079,G,2019-20
1643515,G,2019-20
76035,G,2019-20
76036,G,2019-20
1507,G,2019-20
76037,G,2019-20
944,F,2019-20
246,C-F,2019-20
202341,G-F,2019-20
76040,G,2019-20
1626147,F-G,2019-20
72,G,2019-20
76041,F,2019-20
203937,F-G,2019-20
76042,G,2019-20
76043,F,2019-20
98,F-G,2019-20
76045,F,2019-20
76046,F,2019-20
201583,F,2019-20
1000,G-F,2019-20
335,G-F,2019-20
76048,C,2019-20
101149,C,2019-20
76049,F,2019-20
1628387,C-F,2019-20
76050,F,2019-20
1512,C,2019-20
1630828,F,2019-20
203507,F,2019-20
1628961,F,2019-20
203648,F,2019-20
2546,F,2019-20
1630175,G,2019-20
21,G,2019-20
201202,C,2019-20
203544,F-C,2019-20
1628384,F-G,2019-20
203951,G,2019-20
2737,C,2019-20
76053,F,2019-20
76054,G,2019-20
2425,F,2019-20
1627853,G,2019-20
76055,C,2019-20
2240,G,2019-20
2772,F,2019-20
76056,F,2019-20
76057,F,2019-20
769,G,2019-20
76061,C,2019-20
2220,G,2019-20
353,G,2019-20
200756,F-C,2019-20
76060,G,2019-20
1642379,G,2019-20
76059,G,2019-20
76062,F,2019-20
76063,G,2019-20
76064,F,2019-20
2306,G,2019-20
201589,F,2019-20
76065,G,2019-20
1628503,G,2019-20
201600,C,2019-20
355,F,2019-20
173,F-G,2019-20
76068,G,2019-20
76069,G,2019-20
1088,G,2019-20
76070,G,2019-20
76071,G,2019-20
278,F-G,2019-20
201571,G,2019-20
200788,F,2019-20
1134,C,2019-20
76073,G,2019-20
76074,F,2019-20
1630166,F,2019-20
138,C,2019-20
76076,G,2019-20
1895,G,2019-20
76078,C,2019-20
1630555,G,2019-20
202970,F-C,2019-20
201965,F-C,2019-20
1629028,C,2019-20
101235,G,2019-20
1628962,C-F,2019-20
203569,G,2019-20
202337,F,2019-20
76079,C,2019-20
76080,F,2019-20
1628407,G-F,2019-20
1630641,C,2019-20
76081,F,2019-20
2053,C,2019-20
76082,G,2019-20
1630542,F,2019-20
1628963,F,2019-20
1642846,F,2019-20
1641735,G,2019-20
76084,C,2019-20
76083,G,2019-20
76085,F,2019-20
1847,F,2019-20
1753,G,2019-20
203946,F-C,2019-20
1858,G,2019-20
2486,G,2019-20
76089,G,2019-20
1627758,G,2019-20
452,F,2019-20
1642380,G,2019-20
1627735,G,2019-20
1631116,F,2019-20
200764,F,2019-20
76090,F,2019-20
1630163,G,2019-20
1628366,G,2019-20
76091,F,2019-20
76092,F,2019-20
1628964,C,2019-20
1631094,F,2019-20
1630217,G,2019-20
76093,F,2019-20
2556,G,2019-20
76094,F,2019-20
76095,F,2019-20
1630625,F,2019-20
1627760,G,2019-20
76096,F,2019-20
2571,G,2019-20
76097,G,2019-20
200826,G,2019-20
200745,C-F,2019-20
76098,G,2019-20
76099,C,2019-20
787,F,2019-20
2057,G,2019-20
76102,F,2019-20
1631230,F,2019-20
203084,F,2019-20
76103,F,2019-20
76105,C,2019-20
76104,F,2019-20
2440,F,2019-20
1630567,F-G,2019-20
76107,G,2019-20
76106,G,2019-20
76108,G,2019-20
76109,G,2019-20
1642964,G,2019-20
76110,F,2019-20
76111,F,2019-20
76112,G,2019-20
76113,G,2019-20
2857,G,2019-20
76114,G,2019-20
1629628,F-G,2019-20
2853,F-C,2019-20
344,G,2019-20
699,G,2019-20
1003,G,2019-20
468,G,2019-20
600013,F,2019-20
76117,F,2019-20
76118,C,2019-20
203115,G,2019-20
101188,G,2019-20
76119,F,2019-20
101138,F,2019-20
1628238,F,2019-20
76120,F,2019-20
1629646,C-F,2019-20
1766,F,2019-20
2370,C,2019-20
76121,G,2019-20
1641734,F,2019-20
1628966,F,2019-20
101212,F-C,2019-20
2471,F,2019-20
1499,C,2019-20
2203,F,2019-20
1642419,F,2019-20
174,G,2019-20
76123,G,2019-20
76124,C,2019-20
201587,G-F,2019-20
1641878,G,2019-20
76125,F,2019-20
76126,G,2019-20
2437,F,2019-20
201573,G,2019-20
76127,F,2019-20
203382,C-F,2019-20
76128,G,2019-20
203145,G-F,2019-20
1629647,F,2019-20
76129,F,2019-20
203078,G,2019-20
76130,G,2019-20
76131,G,2019-20
2602,F,2019-20
1627736,G,2019-20
201563,F,2019-20
76133,C,2019-20
201958,G,2019-20
1630699,F,2019-20
76134,C,2019-20
1133,G,2019-20
76136,G,2019-20
76137,,2019-20
76138,C,2019-20
1641736,G,2019-20
76139,C,2019-20
76140,F,2019-20
76141,C,2019-20
201158,G,2019-20
2294,G,2019-20
76142,F,2019-20
1628395,F,2019-20
1952,G,2019-20
2559,G,2019-20
76143,G,2019-20
76144,C,2019-20
1627761,G-F,2019-20
76145,F,2019-20
76146,G,2019-20
1627733,F,2019-20
1886,F,2019-20
203968,,2019-20
104,C,2019-20
1736,G,2019-20
203461,F,2019-20
1120,G,2019-20
712,C-F,2019-20
76151,F,2019-20
76148,G,2019-20
76152,G,2019-20
128,F,2019-20
202728,F-C,2019-20
76154,C,2019-20
1627791,F,2019-20
76155,G,2019-20
76156,C,2019-20
1642866,F,2019-20
1631262,G,2019-20
76157,F,2019-20
76158,F,2019-20
1629541,G,2019-20
202722,F,2019-20
76159,G,2019-20
696,G,2019-20
201976,G,2019-20
1630180,G-F,2019-20
1630189,F,2019-20
204021,C,2019-20
76160,G,2019-20
76161,G,2019-20
76162,G,2019-20
1710,G,2019-20
76163,G,2019-20
2740,C,2019-20
76164,C,2019-20
76165,F,2019-20
1497,G,2019-20
1643548,F,2019-20
76166,G,2019-20
76167,F,2019-20
203920,C,2019-20
1628444,G,2019-20
76168,F,2019-20
1449,F,2019-20
76170,G,2019-20
76171,F,2019-20
1629048,C-F,2019-20
1641931,F,2019-20
202687,C,2019-20
202357,F,2019-20
76172,C,2019-20
1641710,G,2019-20
76173,F,2019-20
1641778,F,2019-20
76174,G,2019-20
204028,F-C,2019-20
76175,C,2019-20
76176,G,2019-20
76180,F,2019-20
76177,F,2019-20
1806,G,2019-20
76179,G,2019-20
201971,C-F,2019-20
2581,G,2019-20
202392,F,2019-20
1628469,G,2019-20
200807,G,2019-20
76182,G,2019-20
76183,G,2019-20
76184,F,2019-20
101154,C-F,2019-20
302,G,2019-20
202339,G,2019-20
1629833,G,2019-20
76186,G,2019-20
76187,F,2019-20
76188,C,2019-20
1628417,F,2019-20
916,F-C,2019-20
1548,C-F,2019-20
203505,G,2019-20
1629129,G-F,2019-20
76189,G,2019-20
76190,G,2019-20
2800,G,2019-20
76191,G,2019-20
1631205,F,2019-20
76192,C,2019-20
2586,G-F,2019-20
202711,F,2019-20
203992,G,2019-20
177,G,2019-20
101106,C,2019-20
1564,F,2019-20
1629626,C-F,2019-20
76195,C,2019-20
1628413,F,2019-20
1629716,C,2019-20
76196,F,2019-20
1630195,F,2019-20
1627762,F,2019-20
76197,G,2019-20
76203,F,2019-20
1641737,F,2019-20
76198,G,2019-20
1603,G,2019-20
1629648,G,2019-20
1121,G,2019-20
1629067,G,2019-20
76201,F,2019-20
41,F,2019-20
2588,C-F,2019-20
